,value,month,year,change
247,1330.93,12,2000,0.003518938628212953
248,1378.04,11,2000,-0.03539630183405573
249,1390.14,10,2000,-0.008780586920553946
250,1468.05,9,2000,-0.05604471492079921
251,1485.46,8,2000,-0.01185926909846402
252,1473.0,7,2000,0.008387974095566353
253,1461.96,6,2000,0.007494908350305529
254,1418.48,5,2000,0.029740895783742394
255,1461.36,4,2000,-0.03022954148102186
256,1442.21,3,2000,0.013104231674604394
257,1388.87,2,2000,0.03698490511090624
258,1425.59,1,2000,-0.026438759567130043
259,1428.68,12,1999,-0.002167523621798839
260,1391.0,11,1999,0.02637399557633624
261,1300.01,10,1999,0.0654133716750539
262,1318.17,9,1999,-0.013969123314436116
263,1327.49,8,1999,-0.0070704082174528615
264,1380.99,7,1999,-0.04030162185779185
265,1322.55,6,1999,0.04231746790346058
266,1332.07,5,1999,-0.007198215568409605
267,1334.76,4,1999,-0.002019413394191094
268,1281.66,3,1999,0.0397824327969073
269,1246.58,2,1999,0.027370753553984772
270,1248.77,1,1999,-0.001756806622920326
271,1190.05,12,1998,0.04702226991359504
272,1144.43,11,1998,0.038334523759505856
273,1032.47,10,1998,0.09783036096572095
274,1020.64,9,1998,0.011457960037579817
275,1074.62,8,1998,-0.05288838375920979
276,1156.58,7,1998,-0.07626882060635398
277,1108.39,6,1998,0.0416659461515847
278,1108.42,5,1998,-2.706628533277744e-05
279,1112.2,4,1998,-0.0034102596488694292
280,1076.83,3,1998,0.03180183420248173
281,1023.74,2,1998,0.049302118254506255
282,963.36,1,1998,0.058979819094691965
283,962.37,12,1997,0.0010276532137518668
284,938.92,11,1997,0.024366927481114353
285,951.16,10,1997,-0.013036254419971804
286,937.02,9,1997,0.014866058286723605
287,927.24,8,1997,0.010437343920087105
288,925.29,7,1997,0.002103015400543584
289,876.29,6,1997,0.05295637043521495
290,833.09,5,1997,0.049298748131326287
291,763.93,4,1997,0.08301624074229685
292,792.16,3,1997,-0.036953647585511895
293,798.39,2,1997,-0.007864572813573112
294,766.22,1,1997,0.04029359085158879
295,743.25,12,1996,0.029978335203988404
296,735.67,11,1996,0.010198452741338793
297,701.46,10,1996,0.04650182826539062
298,674.88,9,1996,0.03789239586006332
299,662.68,8,1996,0.018077287814129983
300,644.07,7,1996,0.028082935957022825
301,668.5,6,1996,-0.037930659710900816
302,661.23,5,1996,0.010875093492894505
303,647.17,4,1996,0.02126340305188823
304,647.07,3,1996,0.0001545189053879792
305,649.54,2,1996,-0.003817206793700789
306,614.42,1,1996,0.054069033469840155
307,614.57,12,1995,-0.00024413267797296356
308,595.53,11,1995,0.03098101111346152
309,582.92,10,1995,0.021174416066361057
310,578.77,9,1995,0.007119330268304358
311,559.11,8,1995,0.03396858855849472
312,557.37,7,1995,0.003112088855502515
313,539.35,6,1995,0.03233040888458294
314,523.81,5,1995,0.028812459441921012
315,507.91,4,1995,0.03035451785952903
316,493.15,3,1995,0.029060266582662364
317,481.92,2,1995,0.02277197607218895
318,465.25,1,1995,0.03459080345285526
319,455.19,12,1994,0.02162278344975821
320,461.01,11,1994,-0.012785869636855018
321,463.81,10,1994,-0.006073620962669057
322,466.96,9,1994,-0.006791574135960765
323,464.24,8,1994,0.005824910056535848
324,451.4,7,1994,0.027658107875237037
325,454.83,6,1994,-0.007598582188746095
326,450.9,5,1994,0.00864059099004022
327,447.23,4,1994,0.00813927700155237
328,463.81,3,1994,-0.037072647183775675
329,471.58,2,1994,-0.016752549535369976
330,472.99,1,1994,-0.0029899486831503896
331,465.95,12,1993,0.01488403560328977
332,462.89,11,1993,0.006567228243373746
333,463.9,10,1993,-0.0021819438743546637
334,459.24,9,1993,0.010045268376805305
335,454.13,8,1993,0.011127079522689654
336,447.29,7,1993,0.015061766454539383
337,448.06,6,1993,-0.0017214782355965408
338,445.25,5,1993,0.006271481498013709
339,443.08,4,1993,0.004873666479505934
340,450.16,3,1993,-0.01597905570100222
341,441.7,2,1993,0.018793317931402265
342,435.23,1,1993,0.014647951098030298
343,435.64,12,1992,-0.0009420306504606124
344,422.84,11,1992,0.029382058580479375
345,412.5,10,1992,0.024453694068678367
346,418.48,9,1992,-0.014496969696969675
347,417.93,8,1992,0.0013142802523418151
348,415.05,7,1992,0.006891106166104333
349,408.27,6,1992,0.01633538127936396
350,414.81,5,1992,-0.016018811080902307
351,407.41,4,1992,0.017839492779826882
352,407.36,3,1992,0.0001227264917404991
353,412.56,2,1992,-0.012765121759622966
354,416.08,1,1992,-0.008532092301725802
355,388.51,12,1991,0.0662612959046337
356,385.92,11,1991,0.006666495070911882
357,386.88,10,1991,-0.0024875621890547706
358,387.2,9,1991,-0.0008271298593878207
359,389.4,8,1991,-0.005681818181818121
360,380.23,7,1991,0.0235490498202362
